Scenario,Predicted_Exam_Score,Gain_vs_At_Risk_Baseline
Intensive Integrated Support,65.28,4.32
Moderate Integrated Support,63.11,2.15
Resource Assistance,62.07,1.11
Peer Mentoring,61.6,0.64
Counseling / Motivation Support,61.55,0.59
Baseline At-Risk,60.96,0.0
